@relation jsoup

@attribute ST01 numeric
@attribute ST02 numeric
@attribute ST03 numeric
@attribute ST04 numeric
@attribute ST05 numeric
@attribute ST06 numeric
@attribute ST07 numeric
@attribute ST08 numeric
@attribute ST09 numeric
@attribute ST10 numeric
@attribute ST11 numeric
@attribute CT01 numeric
@attribute CT02 numeric
@attribute CT03 numeric
@attribute CT04 numeric
@attribute CT05 numeric
@attribute CT06 numeric
@attribute CT07 numeric
@attribute CT08 numeric
@attribute CT09 numeric
@attribute CT10 numeric
@attribute CT11 numeric
@attribute CT12 numeric
@attribute CT13 numeric
@attribute CT14 numeric
@attribute CT15 numeric
@attribute CT16 numeric
@attribute CT17 numeric
@attribute CT18 numeric
@attribute CT19 numeric
@attribute CT20 numeric
@attribute CT21 numeric
@attribute CT22 numeric
@attribute CT23 numeric
@attribute AT01 numeric
@attribute AT02 numeric
@attribute AT03 numeric
@attribute AT04 numeric
@attribute AT05 numeric
@attribute AT06 numeric
@attribute AT07 numeric
@attribute AT08 numeric
@attribute AT09 numeric
@attribute AT10 numeric
@attribute AT11 numeric
@attribute AT12 numeric
@attribute AT13 numeric
@attribute AT14 numeric
@attribute AT15 numeric
@attribute AT16 numeric
@attribute CB01 numeric
@attribute CB02 numeric
@attribute CB03 numeric
@attribute CB04 numeric
@attribute CB05 numeric
@attribute CB06 numeric
@attribute CB07 numeric
@attribute CB08 numeric
@attribute CB09 numeric
@attribute CB10 numeric
@attribute CB11 numeric
@attribute CB12 numeric
@attribute CB13 numeric
@attribute CB14 numeric
@attribute CB15 numeric
@attribute CB16 numeric
@attribute CB17 numeric
@attribute CB18 numeric
@attribute CB19 numeric
@attribute CB20 numeric
@attribute CB21 numeric
@attribute CB22 numeric
@attribute CB23 numeric
@attribute AB01 numeric
@attribute AB02 numeric
@attribute AB03 numeric
@attribute AB04 numeric
@attribute AB05 numeric
@attribute AB06 numeric
@attribute AB07 numeric
@attribute AB08 numeric
@attribute AB09 numeric
@attribute AB10 numeric
@attribute AB11 numeric
@attribute AB12 numeric
@attribute AB13 numeric
@attribute AB14 numeric
@attribute AB15 numeric
@attribute AB16 numeric
@attribute flag {InTrace,OutTrace}

@data
10,4,2,3,1,8,16,5,5,62,230,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,7,0,15,10,1,52,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,OutTrace
11,4,2,3,1,8,6,8,16,62,230,1,0,11,0,1,50,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,InTrace
21,5,2,3,1,8,16,5,5,62,230,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,7,0,15,10,1,52,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,OutTrace
21,5,2,3,1,8,16,5,5,62,230,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,7,0,15,10,1,52,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,OutTrace
21,5,2,3,1,8,16,5,5,62,230,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,7,0,15,10,1,52,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,OutTrace
21,5,2,3,1,8,16,5,5,62,230,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,7,0,15,10,1,52,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,OutTrace
16,3,1,2,1,8,20,8,16,62,230,25,8,13,22,1,72,17,2,1,4,0,0,0,0,0,0,0,0,0,4,4,0,28,0.118,0.059,0.235,0,0,0,0,0,0,0,0,0,0.235,0.235,0,0.235,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,OutTrace
20,2,1,1,1,8,25,8,25,62,230,25,8,13,22,1,72,8,1,2,2,0,0,0,0,0,0,0,0,1,6,3,0,1,0.125,0.25,0.25,0,0,0,0,0,0,0,0,0.125,0.75,0.375,0,0.375,25,8,13,22,1,72,8,1,2,2,0,0,0,0,0,0,0,0,1,6,3,0,1,0.125,0.25,0.25,0,0,0,0,0,0,0,0,0.125,0.75,0.375,0,0.375,InTrace
20,3,1,2,1,8,25,8,16,62,230,25,8,13,22,1,72,8,1,2,2,0,0,0,0,0,0,0,0,1,6,3,0,1,0.125,0.25,0.25,0,0,0,0,0,0,0,0,0.125,0.75,0.375,0,0.375,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,InTrace
20,3,1,2,1,8,15,8,25,62,230,25,8,13,22,1,72,10,1,0,3,0,0,0,0,0,1,1,0,2,6,4,0,3,0.1,0,0.3,0,0,0,0,0,0.1,0.1,0,0.2,0.6,0.4,0,0.4,25,8,13,22,1,72,8,1,2,2,0,0,0,0,0,0,0,0,1,6,3,0,1,0.125,0.25,0.25,0,0,0,0,0,0,0,0,0.125,0.75,0.375,0,0.375,InTrace
20,3,1,2,1,8,15,8,25,62,230,25,8,13,22,1,72,10,1,0,3,0,0,0,0,0,1,1,0,2,6,4,0,3,0.1,0,0.3,0,0,0,0,0,0.1,0.1,0,0.2,0.6,0.4,0,0.4,25,8,13,22,1,72,8,1,2,2,0,0,0,0,0,0,0,0,1,6,3,0,1,0.125,0.25,0.25,0,0,0,0,0,0,0,0,0.125,0.75,0.375,0,0.375,InTrace
21,5,2,3,1,8,16,5,5,62,230,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,7,0,15,10,1,52,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,OutTrace
21,6,1,1,1,8,12,8,12,62,230,25,8,13,22,1,72,6,0,3,0,1,1,0,0,0,0,0,0,0,3,1,1,1,0,0.5,0,0.167,0.167,0,0,0,0,0,0,0,0.5,0.167,0.167,0.167,25,8,13,22,1,72,6,0,3,0,1,1,0,0,0,0,0,0,0,3,1,1,1,0,0.5,0,0.167,0.167,0,0,0,0,0,0,0,0.5,0.167,0.167,0.167,OutTrace
21,3,1,1,1,8,16,8,16,62,230,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,OutTrace
20,3,1,2,1,8,20,8,16,62,230,25,8,13,22,1,72,17,2,1,4,0,0,0,0,0,0,0,0,0,4,4,0,28,0.118,0.059,0.235,0,0,0,0,0,0,0,0,0,0.235,0.235,0,0.235,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,InTrace
11,3,2,2,1,8,6,14,4,62,230,1,0,11,0,1,50,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,73,42,118,45,0,95,10,1,3,0,1,1,0,0,0,0,0,0,1,6,1,0,4,0.1,0.3,0,0.1,0.1,0,0,0,0,0,0,0.1,0.6,0.1,0,0.1,InTrace
14,2,1,1,1,14,4,14,4,62,230,73,42,118,45,0,95,10,1,3,0,1,1,0,0,0,0,0,0,1,6,1,0,4,0.1,0.3,0,0.1,0.1,0,0,0,0,0,0,0.1,0.6,0.1,0,0.1,73,42,118,45,0,95,10,1,3,0,1,1,0,0,0,0,0,0,1,6,1,0,4,0.1,0.3,0,0.1,0.1,0,0,0,0,0,0,0.1,0.6,0.1,0,0.1,OutTrace
