@relation r200

@attribute ST01 numeric
@attribute ST02 numeric
@attribute ST03 numeric
@attribute ST04 numeric
@attribute ST05 numeric
@attribute ST06 numeric
@attribute ST07 numeric
@attribute ST08 numeric
@attribute ST09 numeric
@attribute ST10 numeric
@attribute ST11 numeric
@attribute CT01 numeric
@attribute CT02 numeric
@attribute CT03 numeric
@attribute CT04 numeric
@attribute CT05 numeric
@attribute CT06 numeric
@attribute CT07 numeric
@attribute CT08 numeric
@attribute CT09 numeric
@attribute CT10 numeric
@attribute CT11 numeric
@attribute CT12 numeric
@attribute CT13 numeric
@attribute CT14 numeric
@attribute CT15 numeric
@attribute CT16 numeric
@attribute CT17 numeric
@attribute CT18 numeric
@attribute CT19 numeric
@attribute CT20 numeric
@attribute CT21 numeric
@attribute CT22 numeric
@attribute CT23 numeric
@attribute AT01 numeric
@attribute AT02 numeric
@attribute AT03 numeric
@attribute AT04 numeric
@attribute AT05 numeric
@attribute AT06 numeric
@attribute AT07 numeric
@attribute AT08 numeric
@attribute AT09 numeric
@attribute AT10 numeric
@attribute AT11 numeric
@attribute AT12 numeric
@attribute AT13 numeric
@attribute AT14 numeric
@attribute AT15 numeric
@attribute AT16 numeric
@attribute CB01 numeric
@attribute CB02 numeric
@attribute CB03 numeric
@attribute CB04 numeric
@attribute CB05 numeric
@attribute CB06 numeric
@attribute CB07 numeric
@attribute CB08 numeric
@attribute CB09 numeric
@attribute CB10 numeric
@attribute CB11 numeric
@attribute CB12 numeric
@attribute CB13 numeric
@attribute CB14 numeric
@attribute CB15 numeric
@attribute CB16 numeric
@attribute CB17 numeric
@attribute CB18 numeric
@attribute CB19 numeric
@attribute CB20 numeric
@attribute CB21 numeric
@attribute CB22 numeric
@attribute CB23 numeric
@attribute AB01 numeric
@attribute AB02 numeric
@attribute AB03 numeric
@attribute AB04 numeric
@attribute AB05 numeric
@attribute AB06 numeric
@attribute AB07 numeric
@attribute AB08 numeric
@attribute AB09 numeric
@attribute AB10 numeric
@attribute AB11 numeric
@attribute AB12 numeric
@attribute AB13 numeric
@attribute AB14 numeric
@attribute AB15 numeric
@attribute AB16 numeric
@attribute flag {InTrace,OutTrace}

@data
14,4,2,2,1,6,6,10,6,60,82,11,14,3,0,0,302,91,4,5,7,1,1,0,0,0,0,0,0,49,4,2,42,70,0.044,0.055,0.077,0.011,0.011,0,0,0,0,0,0,0.538,0.044,0.022,0.462,0.022,10,21,22,5,1,296,9,1,2,1,0,0,0,0,0,0,0,0,0,3,2,0,4,0.111,0.222,0.111,0,0,0,0,0,0,0,0,0,0.333,0.222,0,0.222,InTrace
20,5,1,4,0,15,10,15,6,60,82,11,9,48,3,1,243,8,1,0,2,0,0,0,0,0,0,0,0,1,3,3,0,2,0.125,0,0.25,0,0,0,0,0,0,0,0,0.125,0.375,0.375,0,0.375,11,9,48,3,1,243,4,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,InTrace
14,5,2,3,0,6,6,21,4,60,82,11,14,3,0,0,302,91,4,5,7,1,1,0,0,0,0,0,0,49,4,2,42,70,0.044,0.055,0.077,0.011,0.011,0,0,0,0,0,0,0.538,0.044,0.022,0.462,0.022,8,4,7,5,0,89,9,0,2,1,1,0,0,1,0,0,0,0,1,2,2,0,4,0,0.222,0.111,0.111,0,0,0.111,0,0,0,0,0.111,0.222,0.222,0,0.222,InTrace
14,4,2,3,0,6,6,10,6,60,82,20,13,21,1,0,471,68,4,5,9,1,1,0,0,0,0,0,0,21,4,2,14,38,0.059,0.074,0.132,0.015,0.015,0,0,0,0,0,0,0.309,0.059,0.029,0.206,0.029,10,21,22,5,1,296,4,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,InTrace
20,2,1,1,1,12,10,12,10,60,82,8,3,6,5,1,104,4,2,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,8,3,6,5,1,104,4,2,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,InTrace
15,6,1,2,1,6,6,6,6,60,82,10,19,6,3,1,151,69,1,10,8,1,1,0,0,0,0,0,0,9,42,3,1,25,0.014,0.145,0.116,0.014,0.014,0,0,0,0,0,0,0.13,0.609,0.043,0.014,0.043,10,19,6,3,1,151,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,InTrace
20,5,1,4,0,15,10,15,6,60,82,11,9,48,3,1,243,8,1,0,2,0,0,0,0,0,0,0,0,1,3,3,0,2,0.125,0,0.25,0,0,0,0,0,0,0,0,0.125,0.375,0.375,0,0.375,11,9,48,3,1,243,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,InTrace
14,5,2,3,0,6,6,21,4,60,82,11,14,3,0,0,302,91,4,5,7,1,1,0,0,0,0,0,0,49,4,2,42,70,0.044,0.055,0.077,0.011,0.011,0,0,0,0,0,0,0.538,0.044,0.022,0.462,0.022,8,4,7,5,0,89,9,0,2,1,1,0,0,1,0,0,0,0,1,2,2,0,4,0,0.222,0.111,0.111,0,0,0.111,0,0,0,0,0.111,0.222,0.222,0,0.222,InTrace
11,4,1,1,1,8,9,8,9,60,82,0,6,2,1,1,123,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,6,2,1,1,123,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,InTrace
20,2,1,1,1,6,6,6,6,60,82,0,1,11,8,0,130,9,1,0,2,0,0,0,0,0,0,0,0,0,3,2,0,4,0.111,0,0.222,0,0,0,0,0,0,0,0,0,0.333,0.222,0,0.222,0,1,11,8,0,130,9,1,0,2,0,0,0,0,0,0,0,0,0,3,2,0,4,0.111,0,0.222,0,0,0,0,0,0,0,0,0,0.333,0.222,0,0.222,InTrace
20,2,1,1,1,15,6,15,6,60,82,11,9,48,3,1,243,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,11,9,48,3,1,243,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,InTrace
15,4,1,2,1,26,36,26,14,60,82,30,15,11,3,1,191,46,2,11,4,1,1,0,0,0,0,0,0,8,18,2,1,17,0.043,0.239,0.087,0.022,0.022,0,0,0,0,0,0,0.174,0.391,0.043,0.022,0.043,30,15,11,3,1,191,47,2,3,5,0,0,0,0,0,0,0,0,9,23,6,0,13,0.043,0.064,0.106,0,0,0,0,0,0,0,0,0.191,0.489,0.128,0,0.128,InTrace
14,6,1,5,0,20,16,20,6,60,82,19,9,19,14,1,330,5,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0.4,0.2,0.2,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,19,9,19,14,1,330,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,InTrace
14,5,2,3,0,6,6,21,4,60,82,11,14,3,0,0,302,91,4,5,7,1,1,0,0,0,0,0,0,49,4,2,42,70,0.044,0.055,0.077,0.011,0.011,0,0,0,0,0,0,0.538,0.044,0.022,0.462,0.022,8,4,7,5,0,89,9,0,2,1,1,0,0,1,0,0,0,0,1,2,2,0,4,0,0.222,0.111,0.111,0,0,0.111,0,0,0,0,0.111,0.222,0.222,0,0.222,InTrace
14,6,2,5,0,9,8,5,5,60,82,41,6,12,2,1,75,10,6,3,0,0,0,0,0,0,0,0,0,4,0,1,0,36,0.6,0.3,0,0,0,0,0,0,0,0,0,0.4,0,0.1,0,0.1,0,0,4,1,1,119,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,InTrace
15,4,1,2,1,26,14,26,14,60,82,30,15,11,3,1,191,9,1,3,1,0,0,0,0,0,0,0,0,0,3,2,0,3,0.111,0.333,0.111,0,0,0,0,0,0,0,0,0,0.333,0.222,0,0.222,30,15,11,3,1,191,47,2,3,5,0,0,0,0,0,0,0,0,9,23,6,0,13,0.043,0.064,0.106,0,0,0,0,0,0,0,0,0.191,0.489,0.128,0,0.128,InTrace
14,2,1,1,1,11,12,11,12,60,82,16,11,11,4,1,156,19,1,4,2,2,2,0,0,0,0,0,0,3,1,2,2,8,0.053,0.211,0.105,0.105,0.105,0,0,0,0,0,0,0.158,0.053,0.105,0.105,0.105,16,11,11,4,1,156,19,1,4,2,2,2,0,0,0,0,0,0,3,1,2,2,8,0.053,0.211,0.105,0.105,0.105,0,0,0,0,0,0,0.158,0.053,0.105,0.105,0.105,InTrace
21,5,3,4,1,20,21,6,6,60,82,19,9,19,14,1,330,24,1,5,4,1,1,0,0,0,1,1,0,0,5,2,3,9,0.042,0.208,0.167,0.042,0.042,0,0,0,0.042,0.042,0,0,0.208,0.083,0.125,0.083,10,5,13,8,0,152,8,1,0,1,0,0,0,0,0,1,1,0,0,2,2,0,1,0.125,0,0.125,0,0,0,0,0,0.125,0.125,0,0,0.25,0.25,0,0.25,InTrace
20,2,1,1,1,8,6,8,6,60,82,13,4,12,11,1,173,4,2,0,1,0,0,0,0,0,0,0,0,0,3,2,0,1,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0.75,0.5,0,0.5,13,4,12,11,1,173,4,2,0,1,0,0,0,0,0,0,0,0,0,3,2,0,1,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0.75,0.5,0,0.5,InTrace
20,2,1,1,1,11,17,11,17,60,82,0,0,18,4,1,274,8,2,0,1,0,0,0,0,0,1,1,0,0,2,2,0,1,0.25,0,0.125,0,0,0,0,0,0.125,0.125,0,0,0.25,0.25,0,0.25,0,0,18,4,1,274,8,2,0,1,0,0,0,0,0,1,1,0,0,2,2,0,1,0.25,0,0.125,0,0,0,0,0,0.125,0.125,0,0,0.25,0.25,0,0.25,InTrace
20,2,1,1,1,20,6,20,6,60,82,19,9,19,14,1,330,11,1,0,3,0,0,0,0,0,0,0,0,0,4,3,0,5,0.091,0,0.273,0,0,0,0,0,0,0,0,0,0.364,0.273,0,0.273,19,9,19,14,1,330,11,1,0,3,0,0,0,0,0,0,0,0,0,4,3,0,5,0.091,0,0.273,0,0,0,0,0,0,0,0,0,0.364,0.273,0,0.273,InTrace
14,5,2,3,0,6,6,21,4,60,82,11,14,3,0,0,302,91,4,5,7,1,1,0,0,0,0,0,0,49,4,2,42,70,0.044,0.055,0.077,0.011,0.011,0,0,0,0,0,0,0.538,0.044,0.022,0.462,0.022,8,4,7,5,0,89,9,0,2,1,1,0,0,1,0,0,0,0,1,2,2,0,4,0,0.222,0.111,0.111,0,0,0.111,0,0,0,0,0.111,0.222,0.222,0,0.222,InTrace
20,2,1,1,1,6,6,6,6,60,82,0,1,11,8,0,130,9,1,0,2,0,0,0,0,0,0,0,0,0,3,2,0,4,0.111,0,0.222,0,0,0,0,0,0,0,0,0,0.333,0.222,0,0.222,0,1,11,8,0,130,9,1,0,2,0,0,0,0,0,0,0,0,0,3,2,0,4,0.111,0,0.222,0,0,0,0,0,0,0,0,0,0.333,0.222,0,0.222,InTrace
15,4,1,2,1,26,36,26,14,60,82,30,15,11,3,1,191,46,2,11,4,1,1,0,0,0,0,0,0,8,18,2,1,17,0.043,0.239,0.087,0.022,0.022,0,0,0,0,0,0,0.174,0.391,0.043,0.022,0.043,30,15,11,3,1,191,47,2,3,5,0,0,0,0,0,0,0,0,9,23,6,0,13,0.043,0.064,0.106,0,0,0,0,0,0,0,0,0.191,0.489,0.128,0,0.128,InTrace
20,5,2,4,1,7,7,7,10,60,82,10,5,9,2,1,172,23,1,5,4,1,0,0,1,0,0,0,0,6,6,3,2,9,0.043,0.217,0.174,0.043,0,0,0.043,0,0,0,0,0.261,0.261,0.13,0.087,0.13,10,5,9,2,1,172,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,InTrace
14,5,1,3,0,21,7,21,7,60,82,48,16,19,14,1,177,13,1,2,2,1,0,1,0,0,0,0,0,2,7,1,0,1,0.077,0.154,0.154,0.077,0,0.077,0,0,0,0,0,0.154,0.538,0.077,0,0.077,48,16,19,14,1,177,10,1,4,1,1,0,1,0,0,0,0,0,0,4,1,1,1,0.1,0.4,0.1,0.1,0,0.1,0,0,0,0,0,0,0.4,0.1,0.1,0.1,InTrace
14,4,2,3,1,6,10,6,6,60,82,10,5,13,8,0,152,23,1,5,4,2,1,1,0,0,0,0,0,3,2,3,1,4,0.043,0.217,0.174,0.087,0.043,0.043,0,0,0,0,0,0.13,0.087,0.13,0.043,0.13,10,5,13,8,0,152,8,1,0,1,0,0,0,0,0,1,1,0,0,2,2,0,1,0.125,0,0.125,0,0,0,0,0,0.125,0.125,0,0,0.25,0.25,0,0.25,InTrace
21,6,4,5,1,5,7,6,6,60,82,1,0,1,1,1,34,5,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,4,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,10,5,13,8,0,152,8,1,0,1,0,0,0,0,0,1,1,0,0,2,2,0,1,0.125,0,0.125,0,0,0,0,0,0.125,0.125,0,0,0.25,0.25,0,0.25,InTrace
