@relation r200

@attribute ST01 numeric
@attribute ST02 numeric
@attribute ST03 numeric
@attribute ST04 numeric
@attribute ST05 numeric
@attribute ST06 numeric
@attribute ST07 numeric
@attribute ST08 numeric
@attribute ST09 numeric
@attribute ST10 numeric
@attribute ST11 numeric
@attribute CT01 numeric
@attribute CT02 numeric
@attribute CT03 numeric
@attribute CT04 numeric
@attribute CT05 numeric
@attribute CT06 numeric
@attribute CT07 numeric
@attribute CT08 numeric
@attribute CT09 numeric
@attribute CT10 numeric
@attribute CT11 numeric
@attribute CT12 numeric
@attribute CT13 numeric
@attribute CT14 numeric
@attribute CT15 numeric
@attribute CT16 numeric
@attribute CT17 numeric
@attribute CT18 numeric
@attribute CT19 numeric
@attribute CT20 numeric
@attribute CT21 numeric
@attribute CT22 numeric
@attribute CT23 numeric
@attribute AT01 numeric
@attribute AT02 numeric
@attribute AT03 numeric
@attribute AT04 numeric
@attribute AT05 numeric
@attribute AT06 numeric
@attribute AT07 numeric
@attribute AT08 numeric
@attribute AT09 numeric
@attribute AT10 numeric
@attribute AT11 numeric
@attribute AT12 numeric
@attribute AT13 numeric
@attribute AT14 numeric
@attribute AT15 numeric
@attribute AT16 numeric
@attribute CB01 numeric
@attribute CB02 numeric
@attribute CB03 numeric
@attribute CB04 numeric
@attribute CB05 numeric
@attribute CB06 numeric
@attribute CB07 numeric
@attribute CB08 numeric
@attribute CB09 numeric
@attribute CB10 numeric
@attribute CB11 numeric
@attribute CB12 numeric
@attribute CB13 numeric
@attribute CB14 numeric
@attribute CB15 numeric
@attribute CB16 numeric
@attribute CB17 numeric
@attribute CB18 numeric
@attribute CB19 numeric
@attribute CB20 numeric
@attribute CB21 numeric
@attribute CB22 numeric
@attribute CB23 numeric
@attribute AB01 numeric
@attribute AB02 numeric
@attribute AB03 numeric
@attribute AB04 numeric
@attribute AB05 numeric
@attribute AB06 numeric
@attribute AB07 numeric
@attribute AB08 numeric
@attribute AB09 numeric
@attribute AB10 numeric
@attribute AB11 numeric
@attribute AB12 numeric
@attribute AB13 numeric
@attribute AB14 numeric
@attribute AB15 numeric
@attribute AB16 numeric
@attribute flag {InTrace,OutTrace}

@data
20,2,1,1,1,13,3,13,3,319,468,3,3,8,7,0,106,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0.5,3,3,8,7,0,106,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0.5,InTrace
14,8,2,6,0,19,14,9,24,319,468,21,8,7,3,1,167,68,4,14,7,5,3,0,2,0,0,0,0,10,8,3,8,82,0.059,0.206,0.103,0.074,0.044,0,0.029,0,0,0,0,0.147,0.118,0.044,0.118,0.044,31,4,32,17,0,396,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,InTrace
14,3,1,2,0,13,9,13,9,319,468,17,2,57,11,0,635,52,3,10,6,4,2,2,0,0,0,0,0,1,12,3,3,7,0.058,0.192,0.115,0.077,0.038,0.038,0,0,0,0,0,0.019,0.231,0.058,0.058,0.058,17,2,57,11,0,635,8,2,2,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0.25,0.25,0.125,0,0,0,0,0,0,0,0,0,0.25,0.125,0,0.125,InTrace
21,5,1,1,0,18,6,18,6,319,468,7,5,21,10,0,310,3,1,1,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0.333,0.333,0,0.333,0,0.333,0,0,0,0,0,0,1.333,0,0,0,7,5,21,10,0,310,3,1,1,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0.333,0.333,0,0.333,0,0.333,0,0,0,0,0,0,1.333,0,0,0,InTrace
20,9,2,7,0,20,10,20,10,319,468,113,44,140,16,0,594,5,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,113,44,140,16,0,594,5,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,InTrace
20,2,1,1,1,18,6,18,6,319,468,7,5,21,10,0,310,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0.5,7,5,21,10,0,310,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0.5,InTrace
14,3,2,2,1,19,4,15,12,319,468,12,4,3,8,0,66,42,0,10,5,2,2,0,0,0,0,0,0,9,4,2,9,21,0,0.238,0.119,0.048,0.048,0,0,0,0,0,0,0.214,0.095,0.048,0.214,0.048,75,7,80,22,0,1077,6,1,2,0,1,0,0,1,0,0,0,0,0,3,1,0,0,0.167,0.333,0,0.167,0,0,0.167,0,0,0,0,0,0.5,0.167,0,0.167,InTrace
16,2,1,1,1,15,13,15,13,319,468,38,10,41,9,0,243,14,1,2,1,2,1,0,1,0,0,0,0,1,1,2,1,6,0.071,0.143,0.071,0.143,0.071,0,0.071,0,0,0,0,0.071,0.071,0.143,0.071,0.143,38,10,41,9,0,243,14,1,2,1,2,1,0,1,0,0,0,0,1,1,2,1,6,0.071,0.143,0.071,0.143,0.071,0,0.071,0,0,0,0,0.071,0.071,0.143,0.071,0.143,InTrace
20,2,1,1,1,15,6,15,6,319,468,1,0,5,2,0,86,5,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1,0,5,2,0,86,5,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,InTrace
14,2,1,1,1,13,8,13,8,319,468,2,1,3,2,0,62,6,1,1,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0.167,0.167,0.167,0.167,0,0.167,0,0,0,0,0,0,0.167,0.333,0,0.333,2,1,3,2,0,62,6,1,1,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0.167,0.167,0.167,0.167,0,0.167,0,0,0,0,0,0,0.167,0.333,0,0.333,InTrace
