@relation r200

@attribute ST01 numeric
@attribute ST02 numeric
@attribute ST03 numeric
@attribute ST04 numeric
@attribute ST05 numeric
@attribute ST06 numeric
@attribute ST07 numeric
@attribute ST08 numeric
@attribute ST09 numeric
@attribute ST10 numeric
@attribute ST11 numeric
@attribute CT01 numeric
@attribute CT02 numeric
@attribute CT03 numeric
@attribute CT04 numeric
@attribute CT05 numeric
@attribute CT06 numeric
@attribute CT07 numeric
@attribute CT08 numeric
@attribute CT09 numeric
@attribute CT10 numeric
@attribute CT11 numeric
@attribute CT12 numeric
@attribute CT13 numeric
@attribute CT14 numeric
@attribute CT15 numeric
@attribute CT16 numeric
@attribute CT17 numeric
@attribute CT18 numeric
@attribute CT19 numeric
@attribute CT20 numeric
@attribute CT21 numeric
@attribute CT22 numeric
@attribute CT23 numeric
@attribute AT01 numeric
@attribute AT02 numeric
@attribute AT03 numeric
@attribute AT04 numeric
@attribute AT05 numeric
@attribute AT06 numeric
@attribute AT07 numeric
@attribute AT08 numeric
@attribute AT09 numeric
@attribute AT10 numeric
@attribute AT11 numeric
@attribute AT12 numeric
@attribute AT13 numeric
@attribute AT14 numeric
@attribute AT15 numeric
@attribute AT16 numeric
@attribute CB01 numeric
@attribute CB02 numeric
@attribute CB03 numeric
@attribute CB04 numeric
@attribute CB05 numeric
@attribute CB06 numeric
@attribute CB07 numeric
@attribute CB08 numeric
@attribute CB09 numeric
@attribute CB10 numeric
@attribute CB11 numeric
@attribute CB12 numeric
@attribute CB13 numeric
@attribute CB14 numeric
@attribute CB15 numeric
@attribute CB16 numeric
@attribute CB17 numeric
@attribute CB18 numeric
@attribute CB19 numeric
@attribute CB20 numeric
@attribute CB21 numeric
@attribute CB22 numeric
@attribute CB23 numeric
@attribute AB01 numeric
@attribute AB02 numeric
@attribute AB03 numeric
@attribute AB04 numeric
@attribute AB05 numeric
@attribute AB06 numeric
@attribute AB07 numeric
@attribute AB08 numeric
@attribute AB09 numeric
@attribute AB10 numeric
@attribute AB11 numeric
@attribute AB12 numeric
@attribute AB13 numeric
@attribute AB14 numeric
@attribute AB15 numeric
@attribute AB16 numeric
@attribute flag {InTrace,OutTrace}

@data
14,5,1,2,0,14,4,14,4,115,117,11,9,14,7,0,229,12,3,3,1,1,0,0,1,0,0,0,0,2,2,1,3,8,0.25,0.25,0.083,0.083,0,0,0.083,0,0,0,0,0.167,0.167,0.083,0.25,0.083,11,9,14,7,0,229,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,InTrace
11,4,1,1,1,8,9,8,9,115,117,1,6,3,4,1,146,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,6,3,4,1,146,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,InTrace
14,3,1,2,1,11,18,11,16,115,117,19,0,30,5,1,237,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,19,0,30,5,1,237,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,InTrace
14,3,1,2,1,13,11,13,23,115,117,57,7,39,5,1,849,93,3,10,15,5,5,0,0,0,0,0,0,11,9,8,9,70,0.032,0.108,0.161,0.054,0.054,0,0,0,0,0,0,0.118,0.097,0.086,0.097,0.086,57,7,39,5,1,849,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,InTrace
14,3,1,2,0,7,4,7,4,115,117,8,3,3,3,1,76,4,2,1,0,1,1,0,0,0,0,0,0,0,1,1,1,4,0.5,0.25,0,0.25,0.25,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,8,3,3,3,1,76,40,4,6,5,3,3,0,0,0,0,0,0,3,14,0,2,21,0.1,0.15,0.125,0.075,0.075,0,0,0,0,0,0,0.075,0.35,0,0.05,0,InTrace
14,3,1,2,1,9,14,9,15,115,117,107,16,117,32,1,1741,14,1,3,1,1,0,1,0,0,1,1,0,1,2,0,0,1,0.071,0.214,0.071,0.071,0,0.071,0,0,0.071,0.071,0,0.071,0.143,0,0,0,107,16,117,32,1,1741,13,1,1,3,0,0,0,0,0,0,0,0,0,4,1,3,2,0.077,0.077,0.231,0,0,0,0,0,0,0,0,0,0.308,0.077,0.231,0.077,InTrace
11,5,1,2,1,17,10,17,4,115,117,4,7,5,10,0,163,17,0,2,2,0,0,0,0,0,0,0,0,2,11,0,1,5,0,0.118,0.118,0,0,0,0,0,0,0,0,0.118,0.647,0,0.059,0,4,7,5,10,0,163,9,0,0,2,1,1,0,0,0,0,0,0,0,4,2,1,2,0,0,0.222,0.111,0.111,0,0,0,0,0,0,0,0.444,0.222,0.111,0.222,InTrace
14,2,1,1,1,16,6,16,6,115,117,5,3,3,4,0,106,6,2,1,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0.333,0.167,0.167,0.167,0,0.167,0,0,0,0,0,0,0.167,0.333,0,0.333,5,3,3,4,0,106,6,2,1,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0.333,0.167,0.167,0.167,0,0.167,0,0,0,0,0,0,0.167,0.333,0,0.333,InTrace
14,2,1,1,1,11,17,11,17,115,117,19,0,30,5,1,237,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,30,5,1,237,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,InTrace
20,2,1,1,1,13,23,13,23,115,117,57,7,39,5,1,849,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,57,7,39,5,1,849,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,InTrace
