@relation r200

@attribute ST01 numeric
@attribute ST02 numeric
@attribute ST03 numeric
@attribute ST04 numeric
@attribute ST05 numeric
@attribute ST06 numeric
@attribute ST07 numeric
@attribute ST08 numeric
@attribute ST09 numeric
@attribute ST10 numeric
@attribute ST11 numeric
@attribute CT01 numeric
@attribute CT02 numeric
@attribute CT03 numeric
@attribute CT04 numeric
@attribute CT05 numeric
@attribute CT06 numeric
@attribute CT07 numeric
@attribute CT08 numeric
@attribute CT09 numeric
@attribute CT10 numeric
@attribute CT11 numeric
@attribute CT12 numeric
@attribute CT13 numeric
@attribute CT14 numeric
@attribute CT15 numeric
@attribute CT16 numeric
@attribute CT17 numeric
@attribute CT18 numeric
@attribute CT19 numeric
@attribute CT20 numeric
@attribute CT21 numeric
@attribute CT22 numeric
@attribute CT23 numeric
@attribute AT01 numeric
@attribute AT02 numeric
@attribute AT03 numeric
@attribute AT04 numeric
@attribute AT05 numeric
@attribute AT06 numeric
@attribute AT07 numeric
@attribute AT08 numeric
@attribute AT09 numeric
@attribute AT10 numeric
@attribute AT11 numeric
@attribute AT12 numeric
@attribute AT13 numeric
@attribute AT14 numeric
@attribute AT15 numeric
@attribute AT16 numeric
@attribute CB01 numeric
@attribute CB02 numeric
@attribute CB03 numeric
@attribute CB04 numeric
@attribute CB05 numeric
@attribute CB06 numeric
@attribute CB07 numeric
@attribute CB08 numeric
@attribute CB09 numeric
@attribute CB10 numeric
@attribute CB11 numeric
@attribute CB12 numeric
@attribute CB13 numeric
@attribute CB14 numeric
@attribute CB15 numeric
@attribute CB16 numeric
@attribute CB17 numeric
@attribute CB18 numeric
@attribute CB19 numeric
@attribute CB20 numeric
@attribute CB21 numeric
@attribute CB22 numeric
@attribute CB23 numeric
@attribute AB01 numeric
@attribute AB02 numeric
@attribute AB03 numeric
@attribute AB04 numeric
@attribute AB05 numeric
@attribute AB06 numeric
@attribute AB07 numeric
@attribute AB08 numeric
@attribute AB09 numeric
@attribute AB10 numeric
@attribute AB11 numeric
@attribute AB12 numeric
@attribute AB13 numeric
@attribute AB14 numeric
@attribute AB15 numeric
@attribute AB16 numeric
@attribute flag {InTrace,OutTrace}

@data
21,12,3,9,1,20,14,16,5,196,184,3,5,11,0,1,13,15,2,2,1,1,0,0,1,0,0,0,0,4,10,0,1,3,0.133,0.133,0.067,0.067,0,0,0.067,0,0,0,0,0.267,0.667,0,0.067,0,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0,0,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,InTrace
20,10,5,6,1,11,11,9,6,196,184,8,21,52,8,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,8,6,1,32,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
13,10,2,2,1,16,8,10,8,196,184,2,11,15,1,1,31,26,0,2,6,1,1,0,0,0,0,0,0,0,24,1,1,9,0,0.077,0.231,0.038,0.038,0,0,0,0,0,0,0,0.923,0.038,0.038,0.038,1,5,12,6,1,38,14,0,1,3,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0.071,0.214,0,0,0,0,0,0,0,0,0,0.786,0.071,0,0.071,InTrace
20,10,5,6,1,11,8,9,6,196,184,8,21,52,8,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,8,6,1,32,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
20,10,5,6,1,16,9,10,6,196,184,2,11,15,1,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,12,6,1,38,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
20,10,5,6,1,11,18,9,6,196,184,8,21,52,8,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,8,6,1,32,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
14,11,2,10,1,14,10,12,10,196,184,11,5,2,0,0,85,44,3,7,6,3,3,0,0,0,0,0,0,13,7,1,3,19,0.068,0.159,0.136,0.068,0.068,0,0,0,0,0,0,0.295,0.159,0.023,0.068,0.023,694,35,795,20,0,54,95,0,5,10,2,0,0,2,0,2,2,1,7,24,1,3,6,0,0.053,0.105,0.021,0,0,0.021,0,0.021,0.021,0.011,0.074,0.253,0.011,0.032,0.011,InTrace
13,5,2,2,1,25,5,11,6,196,184,6,2,7,3,1,35,23,1,5,1,2,1,1,0,0,0,0,0,1,25,0,1,4,0.043,0.217,0.043,0.087,0.043,0.043,0,0,0,0,0,0.043,1.087,0,0.043,0,8,21,52,8,1,70,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
20,10,5,6,1,11,21,9,6,196,184,8,21,52,8,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,8,6,1,32,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
20,10,5,6,1,11,8,9,6,196,184,8,21,52,8,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,8,6,1,32,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
