@relation r200

@attribute ST01 numeric
@attribute ST02 numeric
@attribute ST03 numeric
@attribute ST04 numeric
@attribute ST05 numeric
@attribute ST06 numeric
@attribute ST07 numeric
@attribute ST08 numeric
@attribute ST09 numeric
@attribute ST10 numeric
@attribute ST11 numeric
@attribute CT01 numeric
@attribute CT02 numeric
@attribute CT03 numeric
@attribute CT04 numeric
@attribute CT05 numeric
@attribute CT06 numeric
@attribute CT07 numeric
@attribute CT08 numeric
@attribute CT09 numeric
@attribute CT10 numeric
@attribute CT11 numeric
@attribute CT12 numeric
@attribute CT13 numeric
@attribute CT14 numeric
@attribute CT15 numeric
@attribute CT16 numeric
@attribute CT17 numeric
@attribute CT18 numeric
@attribute CT19 numeric
@attribute CT20 numeric
@attribute CT21 numeric
@attribute CT22 numeric
@attribute CT23 numeric
@attribute AT01 numeric
@attribute AT02 numeric
@attribute AT03 numeric
@attribute AT04 numeric
@attribute AT05 numeric
@attribute AT06 numeric
@attribute AT07 numeric
@attribute AT08 numeric
@attribute AT09 numeric
@attribute AT10 numeric
@attribute AT11 numeric
@attribute AT12 numeric
@attribute AT13 numeric
@attribute AT14 numeric
@attribute AT15 numeric
@attribute AT16 numeric
@attribute CB01 numeric
@attribute CB02 numeric
@attribute CB03 numeric
@attribute CB04 numeric
@attribute CB05 numeric
@attribute CB06 numeric
@attribute CB07 numeric
@attribute CB08 numeric
@attribute CB09 numeric
@attribute CB10 numeric
@attribute CB11 numeric
@attribute CB12 numeric
@attribute CB13 numeric
@attribute CB14 numeric
@attribute CB15 numeric
@attribute CB16 numeric
@attribute CB17 numeric
@attribute CB18 numeric
@attribute CB19 numeric
@attribute CB20 numeric
@attribute CB21 numeric
@attribute CB22 numeric
@attribute CB23 numeric
@attribute AB01 numeric
@attribute AB02 numeric
@attribute AB03 numeric
@attribute AB04 numeric
@attribute AB05 numeric
@attribute AB06 numeric
@attribute AB07 numeric
@attribute AB08 numeric
@attribute AB09 numeric
@attribute AB10 numeric
@attribute AB11 numeric
@attribute AB12 numeric
@attribute AB13 numeric
@attribute AB14 numeric
@attribute AB15 numeric
@attribute AB16 numeric
@attribute flag {InTrace,OutTrace}

@data
15,6,3,4,1,6,6,28,15,461,445,1,3,3,4,1,18,10,1,1,1,1,0,1,0,0,0,0,0,4,9,1,0,1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0.4,0.9,0.1,0,0.1,26,0,7,17,0,22,11,5,5,1,0,0,0,0,0,0,0,0,0,10,2,0,1,0.455,0.455,0.091,0,0,0,0,0,0,0,0,0,0.909,0.182,0,0.182,InTrace
20,5,2,4,0,25,5,23,6,461,445,3,1,1,2,1,20,12,1,3,2,1,1,0,0,0,0,0,0,1,3,3,1,3,0.083,0.25,0.167,0.083,0.083,0,0,0,0,0,0,0.083,0.25,0.25,0.083,0.25,7,7,10,10,0,21,19,2,0,3,0,0,0,0,0,1,2,0,1,16,0,1,17,0.105,0,0.158,0,0,0,0,0,0.053,0.105,0,0.053,0.842,0,0.053,0,InTrace
20,10,6,9,0,20,5,11,4,461,445,6,1,36,1,1,20,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,10,5,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.25,0,0.25,InTrace
14,13,6,12,0,5,21,28,15,461,445,38,23,59,9,0,101,8,2,2,2,1,0,1,0,0,0,0,0,0,2,0,0,1,0.25,0.25,0.25,0.125,0,0.125,0,0,0,0,0,0,0.25,0,0,0,0,0,8,7,0,18,5,5,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0,0.2,InTrace
20,4,2,3,0,25,5,23,6,461,445,2,1,1,2,1,20,12,1,2,2,1,1,0,0,0,0,0,0,0,4,3,1,3,0.083,0.167,0.167,0.083,0.083,0,0,0,0,0,0,0,0.333,0.25,0.083,0.25,8,3,4,8,0,21,11,1,1,1,0,0,0,0,0,1,2,0,1,6,1,0,1,0.091,0.091,0.091,0,0,0,0,0,0.091,0.182,0,0.091,0.545,0.091,0,0.091,InTrace
16,5,3,4,0,22,17,25,6,461,445,30,6,9,16,0,32,95,4,21,16,3,0,3,0,0,0,0,0,0,47,2,8,10,0.042,0.221,0.168,0.032,0,0.032,0,0,0,0,0,0,0.495,0.021,0.084,0.021,1,1,5,3,1,15,16,3,1,4,0,0,0,0,0,0,0,0,1,14,4,0,10,0.188,0.063,0.25,0,0,0,0,0,0,0,0,0.063,0.875,0.25,0,0.25,InTrace
20,14,9,13,0,20,5,25,6,461,445,6,1,36,1,1,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,3,1,15,16,3,1,4,0,0,0,0,0,0,0,0,1,14,4,0,10,0.188,0.063,0.25,0,0,0,0,0,0,0,0,0.063,0.875,0.25,0,0.25,InTrace
15,4,1,2,1,16,14,16,5,461,445,12,5,2,6,1,18,20,1,6,3,0,0,0,0,0,0,0,0,6,16,2,0,4,0.05,0.3,0.15,0,0,0,0,0,0,0,0,0.3,0.8,0.1,0,0.1,12,5,2,6,1,18,16,1,6,1,1,0,0,1,0,0,0,0,2,18,1,0,2,0.063,0.375,0.063,0.063,0,0,0.063,0,0,0,0,0.125,1.125,0.063,0,0.063,InTrace
20,6,5,5,1,16,9,11,4,461,445,6,2,8,5,0,19,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,10,5,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.25,0,0.25,InTrace
20,7,5,6,0,31,5,11,4,461,445,3,1,36,1,1,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,10,5,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.25,0,0.25,InTrace
