@relation r200

@attribute ST01 numeric
@attribute ST02 numeric
@attribute ST03 numeric
@attribute ST04 numeric
@attribute ST05 numeric
@attribute ST06 numeric
@attribute ST07 numeric
@attribute ST08 numeric
@attribute ST09 numeric
@attribute ST10 numeric
@attribute ST11 numeric
@attribute CT01 numeric
@attribute CT02 numeric
@attribute CT03 numeric
@attribute CT04 numeric
@attribute CT05 numeric
@attribute CT06 numeric
@attribute CT07 numeric
@attribute CT08 numeric
@attribute CT09 numeric
@attribute CT10 numeric
@attribute CT11 numeric
@attribute CT12 numeric
@attribute CT13 numeric
@attribute CT14 numeric
@attribute CT15 numeric
@attribute CT16 numeric
@attribute CT17 numeric
@attribute CT18 numeric
@attribute CT19 numeric
@attribute CT20 numeric
@attribute CT21 numeric
@attribute CT22 numeric
@attribute CT23 numeric
@attribute AT01 numeric
@attribute AT02 numeric
@attribute AT03 numeric
@attribute AT04 numeric
@attribute AT05 numeric
@attribute AT06 numeric
@attribute AT07 numeric
@attribute AT08 numeric
@attribute AT09 numeric
@attribute AT10 numeric
@attribute AT11 numeric
@attribute AT12 numeric
@attribute AT13 numeric
@attribute AT14 numeric
@attribute AT15 numeric
@attribute AT16 numeric
@attribute CB01 numeric
@attribute CB02 numeric
@attribute CB03 numeric
@attribute CB04 numeric
@attribute CB05 numeric
@attribute CB06 numeric
@attribute CB07 numeric
@attribute CB08 numeric
@attribute CB09 numeric
@attribute CB10 numeric
@attribute CB11 numeric
@attribute CB12 numeric
@attribute CB13 numeric
@attribute CB14 numeric
@attribute CB15 numeric
@attribute CB16 numeric
@attribute CB17 numeric
@attribute CB18 numeric
@attribute CB19 numeric
@attribute CB20 numeric
@attribute CB21 numeric
@attribute CB22 numeric
@attribute CB23 numeric
@attribute AB01 numeric
@attribute AB02 numeric
@attribute AB03 numeric
@attribute AB04 numeric
@attribute AB05 numeric
@attribute AB06 numeric
@attribute AB07 numeric
@attribute AB08 numeric
@attribute AB09 numeric
@attribute AB10 numeric
@attribute AB11 numeric
@attribute AB12 numeric
@attribute AB13 numeric
@attribute AB14 numeric
@attribute AB15 numeric
@attribute AB16 numeric
@attribute flag {InTrace,OutTrace}

@data
14,3,1,1,1,12,13,12,13,152,154,28,26,65,13,0,263,4,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0.25,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0.25,0.25,0,0.25,28,26,65,13,0,263,4,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0.25,0.25,0,0.25,0,0.25,0,0,0,0,0,0,0.25,0.25,0,0.25,InTrace
14,4,3,3,1,12,6,11,6,152,154,15,2,3,7,0,16,42,3,6,8,1,0,1,0,0,1,1,0,3,14,2,0,13,0.071,0.143,0.19,0.024,0,0.024,0,0,0.024,0.024,0,0.071,0.333,0.048,0,0.048,59,14,96,34,1,139,16,1,2,2,0,0,0,0,0,1,0,1,0,6,2,0,2,0.063,0.125,0.125,0,0,0,0,0,0.063,0,0.063,0,0.375,0.125,0,0.125,InTrace
14,7,3,6,1,3,9,16,22,152,154,1,2,1,3,1,5,5,4,1,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0.8,0.2,0,0.2,0,0.2,0,0,0,0,0,0,0.6,0,0,0,11,25,24,10,1,94,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,InTrace
14,4,3,3,1,12,5,11,6,152,154,24,4,9,9,0,32,50,2,10,7,3,0,3,0,0,0,0,0,6,20,1,5,1,0.04,0.2,0.14,0.06,0,0.06,0,0,0,0,0,0.12,0.4,0.02,0.1,0.02,59,14,96,34,1,139,16,1,2,2,0,0,0,0,0,1,0,1,0,6,2,0,2,0.063,0.125,0.125,0,0,0,0,0,0.063,0,0.063,0,0.375,0.125,0,0.125,InTrace
20,11,5,9,0,19,20,11,11,152,154,14,46,89,8,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,59,14,96,34,1,139,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
14,8,2,6,0,11,10,10,9,152,154,59,14,96,34,1,139,81,0,4,5,2,1,1,0,0,2,1,1,5,19,2,1,7,0,0.049,0.062,0.025,0.012,0.012,0,0,0.025,0.012,0.012,0.062,0.235,0.025,0.012,0.025,48,8,22,12,0,82,60,2,12,7,0,0,0,0,0,1,1,0,7,17,3,0,14,0.033,0.2,0.117,0,0,0,0,0,0.017,0.017,0,0.117,0.283,0.05,0,0.05,InTrace
20,4,2,3,1,16,19,13,7,152,154,11,25,24,10,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1,12,10,0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,InTrace
14,3,2,2,1,9,14,11,14,152,154,15,10,13,12,1,70,11,1,2,0,1,0,1,0,0,1,1,0,0,10,1,0,1,0.091,0.182,0,0.091,0,0.091,0,0,0.091,0.091,0,0,0.909,0.091,0,0.091,59,14,96,34,1,139,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0.5,InTrace
20,2,1,1,1,25,10,25,10,152,154,16,43,4,5,0,33,34,1,4,5,1,0,0,1,0,1,1,0,2,8,2,1,6,0.029,0.118,0.147,0.029,0,0,0.029,0,0.029,0.029,0,0.059,0.235,0.059,0.029,0.059,16,43,4,5,0,33,34,1,4,5,1,0,0,1,0,1,1,0,2,8,2,1,6,0.029,0.118,0.147,0.029,0,0,0.029,0,0.029,0.029,0,0.059,0.235,0.059,0.029,0.059,InTrace
16,3,2,2,0,8,8,13,9,152,154,16,11,9,15,1,44,38,1,4,5,1,0,1,0,0,2,2,0,7,11,0,0,8,0.026,0.105,0.132,0.026,0,0.026,0,0,0.053,0.053,0,0.184,0.289,0,0,0,8,11,10,2,1,54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,InTrace
